epoch,is_street__dice_coef,is_street_loss,is_street_pr_auc,is_street_precision,is_street_recall,val_is_street__dice_coef,val_is_street_loss,val_is_street_pr_auc,val_is_street_precision,val_is_street_recall
160,0.0273,0.5127,0.0158,0.0,0.0,0.0188,0.5093,0.0116,0.0,0.0
161,0.0272,0.5127,0.0152,0.0,0.0,0.0178,0.5095,0.0088,0.0,0.0
162,0.0263,0.5131,0.0149,0.0,0.0,0.0265,0.5131,0.0126,0.0,0.0
163,0.0268,0.5187,0.016,0.0,0.0,0.0267,0.5111,0.0156,0.0,0.0
164,0.0271,0.5125,0.0155,0.0,0.0,0.025,0.5133,0.0119,0.0,0.0
165,0.0272,0.5166,0.0159,0.0,0.0,0.0239,0.5277,0.012,0.0,0.0
166,0.0273,0.5146,0.0158,0.0,0.0,0.0149,0.5114,0.0075,0.0,0.0
167,0.0252,0.5135,0.0141,0.0,0.0,0.0235,0.5196,0.0136,0.0,0.0
168,0.0252,0.5136,0.0144,0.0,0.0,0.0205,0.5112,0.0092,0.0,0.0
169,0.0279,0.5123,0.0161,0.0,0.0,0.0182,0.509,0.0103,0.0,0.0
170,0.0262,0.5128,0.0141,0.0,0.0,0.0202,0.5181,0.0118,0.0,0.0
171,0.0273,0.5132,0.0161,0.0,0.0,0.0204,0.509,0.0142,0.0,0.0
172,0.0254,0.5192,0.015,0.0,0.0,0.00060472,0.6371,0.0151,0.0,0.0
173,0.0186,0.5606,0.0154,0.0257,0.0046,0.0203,0.5108,0.0109,0.0,0.0
174,0.0284,0.5136,0.0152,0.0,0.0,0.0197,0.5179,0.0121,0.0,0.0
175,0.0289,0.5146,0.0163,0.0,0.0,0.0195,0.5237,0.0128,0.0,0.0
176,0.0249,0.5149,0.0146,0.0,0.0,0.0165,0.5227,0.0106,0.0,0.0
177,0.0293,0.5139,0.0172,0.0,0.0,0.0153,0.5398,0.0067,0.0,0.0
178,0.0303,0.5159,0.0182,0.0,0.0,0.0221,0.5138,0.0147,0.0,0.0
179,0.0268,0.5152,0.0163,0.0,0.0,0.0231,0.5116,0.0136,0.0,0.0
180,0.0269,0.5166,0.0154,0.0,0.0,0.013,0.523,0.0084,0.0,0.0
181,0.0277,0.5146,0.0149,0.0,0.0,0.0209,0.5109,0.0109,0.0,0.0
182,0.0286,0.5169,0.0158,0.0,0.0,0.0159,0.5097,0.0075,0.0,0.0
183,0.0275,0.5137,0.015,0.0,0.0,0.0183,0.5105,0.0089,0.0,0.0
184,0.0248,0.5122,0.0129,0.0,0.0,0.0298,0.51,0.0184,0.0,0.0
185,0.0267,0.5174,0.0161,0.0,0.0,0.0191,0.5134,0.0118,0.0,0.0
186,0.0286,0.513,0.0163,0.0,0.0,0.0197,0.5117,0.0089,0.0,0.0
187,0.028,0.5137,0.0167,0.0,0.0,0.0218,0.5112,0.0102,0.0,0.0
188,0.0275,0.5139,0.0163,0.0,0.0,0.0172,0.5258,0.0117,0.0,0.0
189,0.0247,0.5191,0.0151,0.0,0.0,0.0189,0.5111,0.0102,0.0,0.0
190,0.0227,0.5321,0.0152,0.0,0.0,0.0227,0.5107,0.0118,0.0,0.0
191,0.0277,0.5153,0.0154,0.0,0.0,0.0155,0.5101,0.0072,0.0,0.0
192,0.0275,0.5158,0.0152,0.0,0.0,0.0186,0.5114,0.0095,0.0,0.0
193,0.0266,0.5118,0.0151,0.0,0.0,0.0184,0.5236,0.011,0.0,0.0
194,0.0265,0.5116,0.0161,0.0,0.0,0.0203,0.5119,0.0095,0.0,0.0
195,0.0261,0.5181,0.016,0.0,0.0,0.0231,0.519,0.0133,0.0,0.0
196,0.0284,0.5212,0.0175,0.0,0.0,0.0204,0.5441,0.0087,0.0,0.0
197,0.0266,0.5141,0.0157,0.0,0.0,0.0262,0.5228,0.014,0.0,0.0
198,0.0277,0.5135,0.016,0.0,0.0,0.0213,0.5113,0.0111,0.0,0.0
199,0.0266,0.5139,0.0162,0.0,0.0,0.0197,0.5101,0.0106,0.0,0.0
200,0.0272,0.5193,0.0163,0.0,0.0,0.0195,0.5112,0.0103,0.0,0.0
201,0.0267,0.514,0.0154,0.0,0.0,0.0214,0.5111,0.0113,0.0,0.0
202,0.027,0.5125,0.0157,0.0,0.0,0.0236,0.5158,0.0133,0.0,0.0
203,0.0281,0.5137,0.0176,0.0,0.0,0.0202,0.527,0.0118,0.0,0.0
204,0.0274,0.5136,0.0168,0.0,0.0,0.0215,0.5185,0.0126,0.0,0.0
205,0.0268,0.5165,0.016,0.0,0.0,0.0242,0.5096,0.0136,0.0,0.0
206,0.0264,0.5123,0.0159,0.0,0.0,0.0187,0.5104,0.0092,0.0,0.0
207,0.0276,0.5181,0.0158,0.0,0.0,0.0245,0.5168,0.014,0.0,0.0
208,0.0255,0.5144,0.0145,0.0,0.0,0.0205,0.5291,0.0138,0.0,0.0
209,0.0288,0.5134,0.0178,0.0,0.0,0.0247,0.5106,0.0127,0.0,0.0
210,0.0271,0.5154,0.0155,0.0,0.0,0.0132,0.5332,0.0089,0.0,0.0
211,0.0277,0.517,0.0165,0.0,0.0,0.0187,0.5128,0.0093,0.0,0.0
212,0.0263,0.5128,0.0153,0.0,0.0,0.0259,0.5103,0.0155,0.0,0.0
213,0.0285,0.5139,0.0171,0.0,0.0,0.0242,0.5105,0.0143,0.0,0.0
214,0.0267,0.5153,0.0149,0.0,0.0,0.0238,0.5128,0.0128,0.0,0.0
215,0.0267,0.5139,0.015,0.0,0.0,0.0218,0.5132,0.0113,0.0,0.0
216,0.0284,0.5122,0.0161,0.0,0.0,0.0213,0.513,0.0112,0.0,0.0
217,0.0284,0.5212,0.0165,0.0,0.0,0.0275,0.511,0.016,0.0,0.0
218,0.0273,0.526,0.0168,0.0,0.0,0.0154,0.5123,0.0073,0.0,0.0
219,0.0266,0.5153,0.0146,0.0,0.0,0.0208,0.5195,0.0108,0.0,0.0
220,0.0259,0.5148,0.0155,0.0,0.0,0.0225,0.512,0.0105,0.0,0.0
221,0.028,0.5127,0.0164,0.0,0.0,0.0201,0.5102,0.0099,0.0,0.0
222,0.0283,0.5128,0.0181,0.0,0.0,0.0205,0.5213,0.0094,0.0,0.0
223,0.0281,0.5145,0.0163,0.0,0.0,0.0179,0.5229,0.0101,0.0,0.0
224,0.0285,0.5151,0.0156,0.0,0.0,0.019,0.5257,0.0124,0.0,0.0
225,0.0281,0.5123,0.0164,0.0,0.0,0.0225,0.5176,0.0116,0.0,0.0
226,0.0273,0.5151,0.0155,0.0,0.0,0.0177,0.5279,0.0105,0.0,0.0
227,0.0268,0.5174,0.0155,0.0,0.0,0.018,0.5114,0.0097,0.0,0.0
228,0.0276,0.5127,0.0158,0.0,0.0,0.0214,0.512,0.0098,0.0,0.0
229,0.0258,0.5131,0.0148,0.0,0.0,0.0173,0.509,0.0091,0.0,0.0
230,0.0261,0.5187,0.016,0.0,0.0,0.0179,0.5161,0.0102,0.0,0.0
231,0.0288,0.5114,0.0165,0.0,0.0,0.022,0.5107,0.0107,0.0,0.0
232,0.0267,0.5165,0.0156,0.0,0.0,0.0255,0.5331,0.013,0.0,0.0
233,0.0252,0.516,0.0143,0.0,0.0,0.019,0.5263,0.0129,0.0,0.0
234,0.0264,0.5223,0.0166,0.0,0.0,0.0177,0.5111,0.0099,0.0,0.0
235,0.0268,0.5122,0.0155,0.0,0.0,0.0169,0.5086,0.0093,0.0,0.0
